"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172.8477478","","","","","","","","","","172.8477478","","","","","","","","","","172.8477478","","","","","","","","","","",
"Aruba","ABW","Urban land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.717903532","","","","","","","","","","4.717903532","","","","","","","","","","4.717903532","","","","","","","","","","",
"Aruba","ABW","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.57979393","","","","","","","","","","8.57979393","","","","","","","","","","8.57979393","","","","","","","","","","",
"Afghanistan","AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","8.401","8.684","8.976","9.276","9.586","9.904","10.233","10.57","10.918","11.275","11.643","12.021","12.41","12.809","13.219","13.641","14.074","14.517","14.973","15.442","15.995","16.562","17.147","17.747","18.365","18.997","19.647","20.314","20.998","21.088","21.177","21.266","21.355","21.444","21.534","21.624","21.714","21.805","21.895","21.986","22.078","22.169","22.261","22.353","22.5","22.703","22.907","23.113","23.32","23.528","23.737","23.948","24.16","24.373","24.587","24.803","25.02","25.25","25.495","25.754","",
"Afghanistan","AFG","Urban population","SP.URB.TOTL","755836","796272","839385","885228","934135","986074","1041191","1099272","1161355","1228273","1300947","1379463","1463290","1551037","1640868","1730928","1821611","1912078","1997578","2070935","2136374","2181492","2208967","2225071","2241318","2267901","2305807","2357345","2439549","2502909","2628554","2828169","3093388","3391712","3677087","3916248","4093835","4220821","4321584","4434762","4587798","4790053","5031157","5293385","5563504","5824291","6055019","6263747","6464835","6680732","6927764","7212518","7528588","7865067","8204877","8535606","8852859","9164841","9477100","9797273","",
"Afghanistan","AFG","Urban population growth (annual %)","SP.URB.GROW","","5.21164145884069","5.27286448147164","5.31757581136608","5.3775728452154","5.41104350978509","5.4389126714186","5.42828922957197","5.49392843403507","5.60216908561963","5.74833430859034","5.86018321968064","5.89930322208035","5.82364142626694","5.63016306288188","5.34323107591982","5.10635935215772","4.84693343796932","4.37448379307249","3.60647494100215","3.11098032868632","2.089904696953","1.25159390666837","0.726383978142631","0.727526046743971","1.17906484302452","1.65759895156847","2.21052621151924","3.42772004052374","2.5640469261129","4.89802296864875","7.31956206933164","8.96374245914583","9.20678782769523","8.07860539675126","6.30131899594049","4.43481309531408","3.05474753439547","2.35923428282883","2.58519485686092","3.3926220113501","4.31413056807719","4.91085014620737","5.08079502666875","4.97701977786956","4.58091497182537","3.88502395972086","3.38910534426723","3.15989215110001","3.28500725269717","3.63095436314569","4.02810214835549","4.28893801297526","4.37235475998294","4.2297678342528","3.95176219129098","3.64941022142383","3.46340748347353","3.35038297624495","3.32257193526388","",
"Afghanistan","AFG","Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5","","","15.1","","","","",
"Afghanistan","AFG","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","","0.53","","0.68","","1.05","","1.15","","1.28","","1.07","","0.7","","","","",
"Afghanistan","AFG","Pump price for diesel fuel (US$ per liter)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","","0.58","","0.65","","0.96","","1","","1.21","","1.19","","0.7","","","","",
"Afghanistan","AFG","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","3.17164450754715","3.27566331966833","3.38105111287127","3.48760191151715","3.59558619121353","3.70427025246276","3.81560941129665","3.9239413818906","4.02707965535223","4.12698957643337","4.22325146984305","4.31619863107705","4.48221832949361","4.73336156035822","5.00812457957214","5.31362202068537","5.65077450961683","6.02201482525727","6.44836393253439","6.95238316803688","7.32095380298043","7.78442495497725","8.3464441140745","8.99329463946025","9.68921425347738","10.3864918419917","11.0794066791244","11.7068466514898","12.2176225608441","12.494155934045","12.482126611747","12.1715537321292","11.6756593089415","11.171235694542","10.8108486391238","10.6494976963011","10.6886664749775","10.8760567038723","11.1439415759586","11.3929739380266","11.5549298884362","11.6095635356487","11.5960827883298","11.5627545963153","11.4615489889384","11.3243417462125","11.2668841191949","11.265526261178","11.289996535638","11.2991869324866","11.26930911291","11.1950286035524","11.0922444503093","10.9800964617182","10.8845746972637","10.8199742991165","10.7883084842018","10.7815017467297","10.792339238057","10.8145118650418","",
"Afghanistan","AFG","Population in urban agglomerations of more than 1 million","EN.URB.MCTY","285352","300359","316177","332829","350382","368809","388232","408087","428363","449585","471891","495303","528508","573161","621656","674254","731385","793178","860289","932388","977824","1025339","1075233","1127555","1182500","1239961","1300299","1358525","1419444","1482916","1549320","1618697","1691283","1766910","1846031","1928694","2015181","2105292","2199565","2298059","2401109","2508477","2620804","2738161","2834061","2905178","2978181","3053018","3129844","3208383","3289005","3371653","3456496","3543232","3632269","3723543","3817241","3913297","4011770","4114030","",
"Afghanistan","AFG","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","37.7531633846496","37.7206532441176","37.6676971830566","37.598110317342","37.5087112676433","37.4017568661176","37.287298872157","37.1233871143812","36.8847596126938","36.6030190356704","36.2728842912125","35.9054936594892","36.1177893650609","36.953406011591","37.8858019048455","38.9533244594807","40.1504492452011","41.482512742681","43.0666036570287","45.0225622725967","45.7702630719153","47.00173092544","48.6758290187223","50.675012168151","52.7591354729672","54.674388344112","56.3923606789293","57.6294517773173","58.1846890552311","59.2476993770049","58.9419125496376","57.2348045679024","54.6741307588961","52.0949302299252","50.2036258592739","49.2485154157755","49.2247733482175","49.8787321234423","50.8971941769499","51.8192182579358","52.3368509249971","52.3684602237178","52.091477169168","51.7279774662149","50.9402168130013","49.8803717053286","49.1853287330725","48.7410810174804","48.4133624446718","48.0244230722023","47.4757078907422","46.7472386204097","45.9116105171381","45.0502455986707","44.2696337800067","43.6236513259867","43.1187371220981","42.6990168187315","42.3311983623682","41.9915827598149","",
"Afghanistan","AFG","Population in largest city","EN.URB.LCTY","285352","300359","316177","332829","350382","368809","388232","408087","428363","449585","471891","495303","528508","573161","621656","674254","731385","793178","860289","932388","977824","1025339","1075233","1127555","1182500","1239961","1300299","1358525","1419444","1482916","1549320","1618697","1691283","1766910","1846031","1928694","2015181","2105292","2199565","2298059","2401109","2508477","2620804","2738161","2834061","2905178","2978181","3053018","3129844","3208383","3289005","3371653","3456496","3543232","3632269","3723543","3817241","3913297","4011770","4114030","",
"Afghanistan","AFG","Population living in slums (% of urban population)","EN.POP.SLUM.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.7000007629395","","71.3000030517578","","70.6999969482422","","",
"Afghanistan","AFG","Urban population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Population density (people per sq. km of land area)","EN.POP.DNST","","14.0449866740189","14.3238075544527","14.617536684741","14.9262950709187","15.2503140030022","15.5850197592133","15.9297950556015","16.2930230064639","16.686235946451","17.1149128450204","17.5771911282664","18.0608629721533","18.5475645620807","19.0131881260914","19.4362650491683","19.8252198021015","20.1747786661765","20.4350059737157","20.5420090065251","20.4584612321171","20.1753408081365","19.7324510614833","19.2043163924884","18.6935820849799","18.2860153784885","17.976563122262","17.774919584597","17.7955534111448","18.1798195631529","19.0122047605919","20.3703964096437","22.1878289372913","24.2266381766382","26.1552660601048","27.740491070061","28.8782235088687","29.6497350121006","30.2327681279294","30.8961247434366","31.8291103758846","33.0958980485862","34.6180957632571","36.272510185951","37.8744049260178","39.2952194957571","40.488081671415","41.5104861685507","42.4628189810986","43.4929586741415","44.7040820390283","46.1315029255889","47.7305639800263","49.4280381705113","51.1147780534877","52.7120715007812","54.1971142358239","55.5959930153479","56.937760009803","","",
"Afghanistan","AFG","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","","",
"Afghanistan","AFG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.4867916524168","","","","","65.1795127055462","","","","","64.922461997785","","","","","64.5226827135877","","","","","65.2455916800454","66.8357271071327","66.02317421224","61.3667445152584","59.0103302514867","61.2526557952932","56.2870467224308","56.9108083545081","","","",
